iter	Passed	Remaining
0	32	96864
1	63	95823
2	96	96638
3	128	95945
4	157	94616
5	187	93746
6	216	92710
7	243	91208
8	273	90970
9	303	90689
10	332	90448
11	360	89866
12	389	89486
13	417	89130
14	442	88135
15	469	87604
16	496	87203
17	521	86472
18	548	86080
19	572	85333
20	600	85242
21	626	84754
22	654	84686
23	681	84548
24	710	84516
25	738	84495
26	764	84152
27	791	84012
28	818	83842
29	844	83616
30	870	83411
31	895	83085
32	922	82926
33	954	83281
34	980	83066
35	1006	82844
36	1031	82624
37	1058	82537
38	1085	82418
39	1111	82231
40	1136	81988
41	1161	81832
42	1188	81728
43	1217	81817
44	1243	81631
45	1269	81534
46	1295	81383
47	1321	81254
48	1347	81133
49	1373	81041
50	1400	80961
51	1425	80826
52	1453	80809
53	1478	80672
54	1504	80583
55	1529	80393
56	1555	80322
57	1581	80201
58	1605	80035
59	1632	80003
60	1659	79977
61	1687	79949
62	1710	79763
63	1737	79686
64	1762	79572
65	1789	79548
66	1814	79437
67	1839	79328
68	1865	79244
69	1892	79197
70	1917	79093
71	1943	79015
72	1967	78872
73	1992	78791
74	2018	78718
75	2044	78668
76	2069	78560
77	2093	78415
78	2117	78310
79	2143	78245
80	2170	78229
81	2196	78168
82	2222	78106
83	2246	77971
84	2271	77893
85	2297	77835
86	2321	77721
87	2346	77655
88	2371	77576
89	2396	77474
90	2422	77431
91	2447	77372
92	2471	77251
93	2496	77185
94	2522	77137
95	2546	77031
96	2571	76957
97	2596	76890
98	2621	76816
99	2645	76708
100	2670	76657
101	2696	76613
102	2720	76526
103	2746	76491
104	2771	76421
105	2799	76429
106	2823	76333
107	2847	76256
108	2874	76231
109	2898	76154
110	2924	76110
111	2949	76045
112	2972	75950
113	2997	75883
114	3020	75784
115	3046	75742
116	3070	75666
117	3095	75609
118	3121	75572
119	3147	75533
120	3172	75492
121	3197	75422
122	3221	75345
123	3246	75300
124	3272	75261
125	3296	75198
126	3321	75136
127	3346	75076
128	3370	75015
129	3395	74954
130	3418	74870
131	3442	74799
132	3466	74732
133	3490	74663
134	3514	74587
135	3539	74527
136	3565	74505
137	3589	74437
138	3611	74343
139	3638	74324
140	3661	74240
141	3687	74207
142	3710	74130
143	3734	74063
144	3756	73966
145	3781	73917
146	3805	73851
147	3828	73772
148	3853	73728
149	3877	73672
150	3902	73624
151	3926	73566
152	3937	73276
153	3964	73258
154	3986	73179
155	4010	73112
156	4034	73050
157	4058	73007
158	4084	72973
159	4108	72919
160	4132	72870
161	4156	72818
162	4181	72770
163	4206	72741
164	4231	72712
165	4257	72691
166	4282	72656
167	4306	72597
168	4330	72541
169	4354	72493
170	4379	72455
171	4403	72408
172	4428	72369
173	4453	72329
174	4478	72296
175	4502	72250
176	4526	72197
177	4550	72143
178	4573	72072
179	4597	72027
180	4621	71973
181	4646	71939
182	4671	71905
183	4695	71860
184	4719	71810
185	4744	71783
186	4769	71744
187	4793	71693
188	4817	71656
189	4841	71609
190	4866	71569
191	4888	71498
192	4912	71444
193	4936	71405
194	4960	71361
195	4984	71304
196	5009	71281
197	5033	71225
198	5056	71175
199	5081	71135
200	5105	71100
201	5131	71073
202	5154	71020
203	5177	70962
204	5202	70932
205	5226	70884
206	5250	70846
207	5274	70805
208	5296	70733
209	5321	70694
210	5345	70651
211	5367	70593
212	5381	70411
213	5409	70422
214	5433	70378
215	5457	70335
216	5479	70271
217	5504	70241
218	5527	70186
219	5550	70138
220	5574	70095
221	5598	70057
222	5623	70025
223	5647	69984
224	5670	69936
225	5692	69867
226	5717	69840
227	5750	69910
228	5772	69852
229	5797	69820
230	5821	69783
231	5845	69744
232	5869	69705
233	5892	69647
234	5917	69623
235	5940	69575
236	5963	69525
237	5987	69490
238	6010	69439
239	6032	69370
240	6055	69327
241	6079	69287
242	6104	69255
243	6127	69210
244	6151	69168
245	6176	69143
246	6200	69110
247	6225	69086
248	6251	69066
249	6276	69043
250	6300	69002
251	6323	68958
252	6349	68937
253	6373	68909
254	6397	68870
255	6423	68849
256	6448	68829
257	6473	68801
